5.04E+12,4.73E+12,1.44E+11,80483000000,66067000000,50604000000,75903000000,0.18,0.95,6.52,1.05,0.35,0.46,0.19,0.08,0.21,0.94,14.83
4.20E+12,3.93E+12,1.21E+11,61430000000,61751000000,47026000000,-77332000000,0.2,0.8,6.2,1.12,0.39,0.51,0.21,0.15,0.27,0.94,14.94
3.68E+12,3.47E+12,99993000000,46492000000,53523000000,40922000000,-26058000000,0.21,0.8,4.1,0.82,0.41,0.54,0.21,0.2,0.15,0.94,16.76
3.15E+12,2.97E+12,82639000000,38533000000,44419000000,34186000000,-20454000000,0.21,0.8,5.7,1.1,0.41,0.54,0.21,0.25,0.2,0.94,16.51
2.68E+12,2.54E+12,68340098000,32160945000,35756727000,27285981000,1.45E+11,0.2,0.8,6.32,1.16,0.4,0.52,0.38,0.42,0.21,0.94,16.95
2.19E+12,2.07E+12,49380848499,24783798957,25072051710,19177210893,33473263857,0.2,0.8,10.36,1.62,0.39,0.51,0.37,0.45,0.81,0.94,16.78
1.62E+12,1.55E+12,35967773667,19645558467,17178373702,13216581122,38184999421,0.24,0.9,15.22,2.96,0.37,0.48,0.07,0.06,0.63,0.96,22.83
1.31E+12,1.27E+12,33646699560,19228557615,15332009174,12515968083,25078488221,0.36,0.89,10.05,3.02,0.37,0.46,0.32,1.28,0.47,0.97,30.4
9.15E+11,8.87E+11,25505519077,15113690289,10762743981,5498775403,-13697229286,0.21,0.81,32.38,6.29,0.22,0.42,0.35,0.64,0.15,0.97,31.33
3.71E+11,3.59E+11,6935913173,6214759187,2352603560,1566088191,3934063577,0.16,0.23,27.12,3.54,0.23,0.34,0.47,0.22,0.51,0.97,29.89
1.74E+11,1.67E+11,3018539000,2744720000,1447093000,1061878000,-936735000,0.15,0.17,38.76,5.82,0.35,0.48,0.36,0.11,-0.05,0.96,23.58
12324754328,2552120232,5619735354,3890342442,1747338194,1253091060,-1755683379,0.14,1,11.03,1.44,0.22,0.31,0.02,0.15,0.1,0.21,0.26
11073897755,2217310144,5527678576,3961419575,1575958856,1087642576,1351711263,0.14,1,13.56,1.74,0.2,0.29,0.08,0.22,0.1,0.2,0.25
9949739744,1923354622,5141313419,3827968045,1315394282,894957615.7,557939907.6,0.12,1,8.97,1.04,0.17,0.26,0.1,0.19,0.07,0.19,0.24
10144297186,2671605396,4673315397,3531216534,1147950863,753089789.8,310884082.2,0.11,1,10.57,1.1,0.16,0.25,0.1,0.08,0.05,0.26,0.36
10639464850,3550838396,4239351635,3289189793,954324241.5,697102478.9,-80414070.38,0.11,1,11.12,1.13,0.16,0.23,0.1,0.19,0.05,0.33,0.5
9021073660,2986919137,3049701649,2341595781,708070672.1,485774462.8,5095029.93,0.09,0.88,20.41,1.7,0.16,0.23,0.14,0.35,0.05,0.33,0.5
